,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
0,punta arenas,3874787,-53.16,48.2,40,49,32.21
1,ushuaia,3833367,-54.81,44.6,75,75,38.03
2,kapaa,5848280,22.08,66.92,1,83,9.17
3,avarua,4035715,-21.21,78.8,75,74,13.87
4,albany,5106834,42.65,42.98,75,75,14.99
5,kodiak,4407665,39.95,48.02,1,71,17.22
6,chumikan,2025256,54.72,-3.27,0,50,9.51
7,rikitea,4030556,-23.12,79.22,92,98,9.95
8,vao,588365,59.1,17.97,44,87,8.39
9,geraldton,5960603,49.72,3.2,20,71,2.24
10,jamestown,2069194,-33.21,50.19,8,85,4.7
11,airai,1651810,-8.93,69.77,36,93,1.34
12,nome,4732862,30.04,69.08,40,67,8.05
13,yellowknife,6185377,62.45,-2.21,75,84,14.99
14,norfolk,4776222,36.85,64.04,1,46,8.05
15,roald,3141667,62.58,42.8,75,75,11.41
16,mount gambier,2156643,-37.83,59.0,90,77,5.82
17,cap malheureux,934649,-19.98,82.4,75,83,12.75
18,saskylakh,2017155,71.97,-36.26,20,0,3.02
19,pangnirtung,6096551,66.15,-7.61,90,76,9.17
20,hermanus,3366880,-34.42,73.59,0,48,6.04
21,brownsville,4676740,25.91,75.02,90,63,21.92
22,busselton,2075265,-33.64,68.1,0,100,18.79
23,port elizabeth,4501427,39.31,51.26,90,63,13.87
24,chattanooga,4612862,35.05,60.8,1,62,3.13
25,moron,3631878,10.49,85.47,76,44,3.13
26,talnakh,1490256,69.49,-0.12,68,74,19.46
27,constitucion,4011743,23.99,62.6,90,36,8.05
28,guerrero negro,4021858,27.97,58.92,12,92,5.37
29,saint george,262462,39.45,35.6,40,74,4.7
30,nyrob,516588,60.74,13.79,92,84,7.61
31,mount isa,2065594,-20.73,82.4,32,61,8.05
32,luderitz,3355672,-26.65,63.2,12,77,17.11
33,fairbanks,5861897,64.84,-35.32,40,58,2.68
34,micoud,3576569,13.82,84.2,20,66,20.8
35,dikson,1507390,73.51,-7.32,32,100,33.22
36,nouadhibou,2377457,20.93,78.8,0,16,8.05
37,saint-philippe,6138908,45.36,26.96,90,58,19.46
38,khatanga,2022572,71.98,-35.36,12,0,3.13
39,los llanos de aridane,2514651,28.66,69.8,0,49,5.82
40,mitsamiouli,921786,-11.38,84.2,20,79,2.24
41,hobart,2163355,-42.88,55.4,75,66,6.93
42,luanda,2240449,-8.83,80.6,75,83,8.05
43,bambanglipuro,1650434,-7.95,71.61,88,100,3.13
44,atuona,4020109,-9.8,81.6,76,99,16.67
45,hanzhong,1808857,33.08,25.08,76,87,2.01
46,aksu,1524298,52.04,-5.81,0,83,11.18
47,sangin,1127547,32.07,40.79,32,87,4.14
48,alice springs,2077895,-23.7,77.0,0,20,9.17
49,ostrovnoy,556268,68.05,28.55,88,92,17.22
50,torbay,6167817,47.66,35.6,90,100,32.21
51,esperance,3573739,10.24,86.0,40,58,13.87
52,waddan,2209055,29.16,45.74,0,47,7.16
53,nichinan,1855476,31.65,39.03,0,100,5.59
54,chuy,3443061,-33.69,86.37,20,71,11.18
55,grand gaube,934479,-20.01,82.4,75,83,12.75
56,kathmandu,1283240,27.71,46.4,40,70,3.36
57,half moon bay,5354943,37.46,51.98,90,93,23.04
58,barranca,3946820,-10.75,70.08,0,100,6.49
59,hithadhoo,1282256,-0.6,78.9,92,100,5.03
60,bilibino,2126682,68.06,-43.91,0,0,2.24
61,puerto ayora,3652764,-0.74,86.0,75,58,16.11
62,pevek,2122090,69.7,-26.09,12,100,4.92
63,port alfred,964432,-33.59,68.82,0,85,4.36
64,brookings,5226534,44.31,33.8,75,99,18.34
65,uthal,1162862,25.81,50.46,0,78,1.45
66,longyearbyen,2729907,78.22,21.2,75,85,54.13
67,bluff,2175403,-23.58,73.5,8,74,9.06
68,codrington,2160063,-28.95,69.8,92,94,3.24
69,tasiilaq,3424607,65.61,17.6,0,61,5.82
70,saint anthony,5606187,43.97,33.98,90,92,13.87
71,qaanaaq,3831208,77.48,-16.01,0,92,5.26
72,cape town,3369157,-33.93,68.0,20,72,26.4
